variable_name,units,value,data_reference
E_L2_E0,J_per_m3,178262.31457681078,TO_DO
l_L2_E0,metre,6.9339e-06,TO_DO
r_0_L2_E0,metre,4.269e-07,TO_DO
u_0_L2_E0,J_per_m3,1.7255488514244477e-19,TO_DO
u_ext_L2_E0,J_per_m3,0.0,TO_DO
theta_L2_E0,dimensionless,0.0,TO_DO
u_ext_L2_E1,J_per_m3,0.0,TO_DO
u_0_L2_E1,J_per_m3,6.97288805675037e-12,TO_DO
theta_L2_E1,dimensionless,0.0,TO_DO
E_L2_E1,J_per_m3,177520.07321312555,TO_DO
l_L2_E1,metre,4.501599999999999e-06,TO_DO
r_0_L2_E1,metre,6.252e-07,TO_DO
u_ext_L2_E2,J_per_m3,0.0,TO_DO
u_0_L2_E2,J_per_m3,-2.846030702774449e-18,TO_DO
theta_L2_E2,dimensionless,0.0,TO_DO
E_L2_E2,J_per_m3,260183.54350241795,TO_DO
l_L2_E2,metre,5.7309e-06,TO_DO
r_0_L2_E2,metre,4.1679999999999997e-07,TO_DO
E_L2_E3,J_per_m3,138008.4123578063,TO_DO
l_L2_E3,metre,3.979299999999999e-06,TO_DO
r_0_L2_E3,metre,5.001e-07,TO_DO
u_0_L2_E3,J_per_m3,3.710681935331639e-16,TO_DO
u_ext_L2_E3,J_per_m3,0.0,TO_DO
theta_L2_E3,dimensionless,0.0,TO_DO
E_L2_E4,J_per_m3,193275.64240802074,TO_DO
l_L2_E4,metre,4.5844e-06,TO_DO
r_0_L2_E4,metre,5.21e-07,TO_DO
u_0_L2_E4,J_per_m3,2.6020852139652106e-18,TO_DO
u_ext_L2_E4,J_per_m3,0.0,TO_DO
theta_L2_E4,dimensionless,0.0,TO_DO
u_ext_L2_E5,J_per_m3,0.0,TO_DO
u_0_L2_E5,J_per_m3,4.228388472693467e-18,TO_DO
theta_L2_E5,dimensionless,0.0,TO_DO
E_L2_E5,J_per_m3,219217.60676583118,TO_DO
l_L2_E5,metre,4.360199999999999e-06,TO_DO
r_0_L2_E5,metre,6.252e-07,TO_DO
E_L2_E6,J_per_m3,156718.75204171526,TO_DO
l_L2_E6,metre,4.4927e-06,TO_DO
r_0_L2_E6,metre,6.252e-07,TO_DO
u_0_L2_E6,J_per_m3,2.4706799106599675e-15,TO_DO
u_ext_L2_E6,J_per_m3,0.0,TO_DO
theta_L2_E6,dimensionless,0.0,TO_DO
E_L2_E7,J_per_m3,195153.78288209817,TO_DO
l_L2_E7,metre,3.204e-07,TO_DO
r_0_L2_E7,metre,3.5889999999999996e-07,TO_DO
u_0_L2_E7,J_per_m3,-1.734723475976807e-18,TO_DO
u_ext_L2_E7,J_per_m3,0.0,TO_DO
theta_L2_E7,dimensionless,0.0,TO_DO
u_ext_L2_E8,J_per_m3,0.0,TO_DO
u_0_L2_E8,J_per_m3,-1.214306433183765e-17,TO_DO
theta_L2_E8,dimensionless,0.0,TO_DO
E_L2_E8,J_per_m3,63663.84303387956,TO_DO
l_L2_E8,metre,3.514e-07,TO_DO
r_0_L2_E8,metre,3.5889999999999996e-07,TO_DO
E_L2_E9,J_per_m3,141275.1926300452,TO_DO
l_L2_E9,metre,1.874e-06,TO_DO
