variable_name,units,value,data_reference
E_L2_E0,J_per_m3,171772.75322787536,TO_DO
l_L2_E0,metre,4.3213e-06,TO_DO
r_0_L2_E0,metre,7.288e-07,TO_DO
u_0_L2_E0,J_per_m3,0.004886324630746229,TO_DO
u_ext_L2_E0,J_per_m3,0.0,TO_DO
theta_L2_E0,dimensionless,0.0,TO_DO
E_L2_E1,J_per_m3,134096.68221762052,TO_DO
l_L2_E1,metre,6.0153e-06,TO_DO
r_0_L2_E1,metre,1.6978999999999999e-06,TO_DO
u_0_L2_E1,J_per_m3,0.0002374145177359834,TO_DO
u_ext_L2_E1,J_per_m3,0.0,TO_DO
theta_L2_E1,dimensionless,0.0,TO_DO
u_ext_L2_E2,J_per_m3,0.0,TO_DO
u_0_L2_E2,J_per_m3,0.27712925252812576,TO_DO
theta_L2_E2,dimensionless,0.0,TO_DO
E_L2_E2,J_per_m3,174438.4689205126,TO_DO
l_L2_E2,metre,3.0847e-06,TO_DO
r_0_L2_E2,metre,1.034e-06,TO_DO
E_L2_E3,J_per_m3,211472.03620239094,TO_DO
l_L2_E3,metre,1.1568e-06,TO_DO
r_0_L2_E3,metre,1.8754999999999999e-06,TO_DO
u_0_L2_E3,J_per_m3,0.7987944669086402,TO_DO
u_ext_L2_E3,J_per_m3,0.0,TO_DO
theta_L2_E3,dimensionless,0.0,TO_DO
P_L2_E2_PI,J_per_m3,6666.12,TO_DO
P_L2_E0_PO,J_per_m3,666.612,TO_DO
P_L2_E3_PO,J_per_m3,666.612,TO_DO
beta_g,dimensionless,0.0,user_defined
rho,Js2_per_m5,1040.0,known
mu,Js_per_m3,0.004,known
g,m_per_s2,9.81,known
a_vessel,dimensionless,0.2802, Avolio_1980
b_vessel,per_m,-505.3,Avolio_1980
c_vessel,dimensionless,0.1324,Avolio_1980
d_vessel,per_m,-11.14,Avolio_1980
